decl,decl_fanout,qid_index,qid,qid_label,qid_status,qid_importance,is_primary_decl_of_qid,qid_other_decls,wikipedia_url,wikidata_url,mathlib_doc_url,decision,notes
EuclideanSpace,13,1/13,Q111954994,Calculus on Euclidean space,formalized,High,FALSE,"Differentiable, DifferentiableOn, HasFDerivAt, fderiv",https://en.wikipedia.org/wiki/Calculus_on_Euclidean_space,https://www.wikidata.org/wiki/Q111954994,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=EuclideanSpace,,
EuclideanSpace,13,2/13,Q116980063,Euclidean planes in three-dimensional space,formalized,High,FALSE,"Coplanar, Coplanar.finiteDimensional_direction_affineSpan, coplanar_iff_finrank_le_two",https://en.wikipedia.org/wiki/Euclidean_planes_in_three-dimensional_space,https://www.wikidata.org/wiki/Q116980063,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=EuclideanSpace,,
EuclideanSpace,13,3/13,Q13471665,Vector (mathematics and physics),formalized,High,FALSE,"Module, Submodule",https://en.wikipedia.org/wiki/Vector_mathematics_and_physics,https://www.wikidata.org/wiki/Q13471665,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=EuclideanSpace,,
EuclideanSpace,13,4/13,Q134787,Analytic geometry,formalized,Top,TRUE,"AffineSpace, EuclideanGeometry, EuclideanSpace.proj",https://en.wikipedia.org/wiki/Analytic_geometry,https://www.wikidata.org/wiki/Q134787,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=EuclideanSpace,,
EuclideanSpace,13,5/13,Q15284797,Function of several real variables,formalized,High,TRUE,,https://en.wikipedia.org/wiki/Function_of_several_real_variables,https://www.wikidata.org/wiki/Q15284797,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=EuclideanSpace,,
EuclideanSpace,13,6/13,Q162886,Euclidean geometry,formalized,Top,TRUE,EuclideanGeometry,https://en.wikipedia.org/wiki/Euclidean_geometry,https://www.wikidata.org/wiki/Q162886,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=EuclideanSpace,,
EuclideanSpace,13,7/13,Q17295,Euclidean space,formalized,Top,TRUE,"EuclideanSpace.equiv, EuclideanSpace.finAddEquivProd",https://en.wikipedia.org/wiki/Euclidean_space,https://www.wikidata.org/wiki/Q17295,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=EuclideanSpace,,
EuclideanSpace,13,8/13,Q238125,Four-dimensional space,formalized,High,TRUE,"EuclideanSpace.finAddEquivProd, finrank_euclideanSpace_fin",https://en.wikipedia.org/wiki/Four-dimensional_space,https://www.wikidata.org/wiki/Q238125,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=EuclideanSpace,,
EuclideanSpace,13,9/13,Q34929,Three-dimensional space,formalized,Top,TRUE,crossProduct,https://en.wikipedia.org/wiki/Three-dimensional_space,https://www.wikidata.org/wiki/Q34929,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=EuclideanSpace,,
EuclideanSpace,13,10/13,Q44528,Euclidean vector,formalized,Top,TRUE,"EuclideanSpace.proj, EuclideanSpace.single, InnerProductSpace",https://en.wikipedia.org/wiki/Euclidean_vector,https://www.wikidata.org/wiki/Q44528,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=EuclideanSpace,,
EuclideanSpace,13,11/13,Q62912,Cartesian coordinate system,formalized,Top,TRUE,"AffineBasis, Basis, EuclideanSpace.equiv, OrthonormalBasis",https://en.wikipedia.org/wiki/Cartesian_coordinate_system,https://www.wikidata.org/wiki/Q62912,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=EuclideanSpace,,
EuclideanSpace,13,12/13,Q847073,Euclidean distance,formalized,High,FALSE,"Euclidean.dist, EuclideanSpace.dist_eq, EuclideanSpace.norm_eq",https://en.wikipedia.org/wiki/Euclidean_distance,https://www.wikidata.org/wiki/Q847073,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=EuclideanSpace,,
EuclideanSpace,13,13/13,Q852195,Euclidean group,formalized,High,FALSE,"IsometryEquiv, IsometryEquiv.instGroup, Matrix.orthogonalGroup, Matrix.specialOrthogonalGroup",https://en.wikipedia.org/wiki/Euclidean_group,https://www.wikidata.org/wiki/Q852195,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=EuclideanSpace,,
fderiv,10,1/10,Q1058681,Differential operator,formalized,High,TRUE,"Derivation, deriv, iteratedDeriv, Δ",https://en.wikipedia.org/wiki/Differential_operator,https://www.wikidata.org/wiki/Q1058681,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=fderiv,,
fderiv,10,2/10,Q111954994,Calculus on Euclidean space,formalized,High,TRUE,"Differentiable, DifferentiableOn, EuclideanSpace, HasFDerivAt",https://en.wikipedia.org/wiki/Calculus_on_Euclidean_space,https://www.wikidata.org/wiki/Q111954994,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=fderiv,,
fderiv,10,3/10,Q149999,Differential calculus,formalized,Top,FALSE,"Differentiable, HasDerivAt, HasFDerivAt, deriv",https://en.wikipedia.org/wiki/Differential_calculus,https://www.wikidata.org/wiki/Q149999,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=fderiv,,
fderiv,10,4/10,Q1520713,Linearization,formalized,High,TRUE,"ApproximatesLinearOn, HasFDerivAt, HasFDerivAtFilter, taylorWithinEval",https://en.wikipedia.org/wiki/Linearization,https://www.wikidata.org/wiki/Q1520713,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=fderiv,,
fderiv,10,5/10,Q186475,Partial derivative,formalized,High,FALSE,"MvPolynomial.pderiv, hasStrictFDerivAt_uncurry_coprod",https://en.wikipedia.org/wiki/Partial_derivative,https://www.wikidata.org/wiki/Q186475,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=fderiv,,
fderiv,10,6/10,Q200802,Vector calculus,formalized,Top,FALSE,"VectorField.lieBracket, extDeriv, gradient",https://en.wikipedia.org/wiki/Vector_calculus,https://www.wikidata.org/wiki/Q200802,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=fderiv,,
fderiv,10,7/10,Q2035437,Multivariable calculus,formalized,High,TRUE,"ContDiff, Differentiable, HasFDerivAt",https://en.wikipedia.org/wiki/Multivariable_calculus,https://www.wikidata.org/wiki/Q2035437,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=fderiv,,
fderiv,10,8/10,Q29175,Derivative,formalized,Top,TRUE,"DifferentiableAt, HasDerivAt, HasFDerivAt, deriv",https://en.wikipedia.org/wiki/Derivative,https://www.wikidata.org/wiki/Q29175,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=fderiv,,
fderiv,10,9/10,Q636889,Derivative (multivariable calculus),formalized,Mid,TRUE,"Differentiable, DifferentiableAt, HasFDerivAt, HasFDerivAtFilter",https://en.wikipedia.org/wiki/Derivative_multivariable_calculus,https://www.wikidata.org/wiki/Q636889,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=fderiv,,
fderiv,10,10/10,Q750432,Differential of a function,formalized,Mid,TRUE,"HasDerivAt, HasFDerivAt, HasFDerivAtFilter, deriv",https://en.wikipedia.org/wiki/Differential_of_a_function,https://www.wikidata.org/wiki/Q750432,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=fderiv,,
Module,9,1/9,Q125977,Vector space,formalized,Top,TRUE,"Basis, Basis.ofVectorSpace",https://en.wikipedia.org/wiki/Vector_space,https://www.wikidata.org/wiki/Q125977,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Module,,
Module,9,2/9,Q126736,Scalar multiplication,formalized,High,TRUE,"DistribMulAction, DistribSMul, MulAction",https://en.wikipedia.org/wiki/Scalar_multiplication,https://www.wikidata.org/wiki/Q126736,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Module,,
Module,9,3/9,Q1289248,Scalar (mathematics),formalized,High,TRUE,"DistribMulAction, Matrix.scalar, MulAction",https://en.wikipedia.org/wiki/Scalar_mathematics,https://www.wikidata.org/wiki/Q1289248,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Module,,
Module,9,4/9,Q13471665,Vector (mathematics and physics),formalized,High,TRUE,"EuclideanSpace, Submodule",https://en.wikipedia.org/wiki/Vector_mathematics_and_physics,https://www.wikidata.org/wiki/Q13471665,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Module,,
Module,9,5/9,Q159943,Abstract algebra,not_formalized,Top,FALSE,"Algebra, Field, Group, Ring",https://en.wikipedia.org/wiki/Abstract_algebra,https://www.wikidata.org/wiki/Q159943,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Module,,
Module,9,6/9,Q18848,Module (mathematics),formalized,Top,TRUE,"LinearMap, Submodule",https://en.wikipedia.org/wiki/Module_mathematics,https://www.wikidata.org/wiki/Q18848,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Module,,
Module,9,7/9,Q2912125,G-module,formalized,High,FALSE,"DistribMulAction, Rep, Representation",https://en.wikipedia.org/wiki/G-module,https://www.wikidata.org/wiki/Q2912125,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Module,,
Module,9,8/9,Q727659,Commutative algebra,formalized,Top,FALSE,"Algebra, CommRing, CommSemiring, Ideal",https://en.wikipedia.org/wiki/Commutative_algebra,https://www.wikidata.org/wiki/Q727659,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Module,,
Module,9,9/9,Q82571,Linear algebra,formalized,Top,TRUE,"Basis, LinearMap, Module.rank, Submodule",https://en.wikipedia.org/wiki/Linear_algebra,https://www.wikidata.org/wiki/Q82571,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Module,,
HasFDerivAt,8,1/8,Q111954994,Calculus on Euclidean space,formalized,High,FALSE,"Differentiable, DifferentiableOn, EuclideanSpace, fderiv",https://en.wikipedia.org/wiki/Calculus_on_Euclidean_space,https://www.wikidata.org/wiki/Q111954994,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=HasFDerivAt,,
HasFDerivAt,8,2/8,Q149999,Differential calculus,formalized,Top,FALSE,"Differentiable, HasDerivAt, deriv, fderiv",https://en.wikipedia.org/wiki/Differential_calculus,https://www.wikidata.org/wiki/Q149999,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=HasFDerivAt,,
HasFDerivAt,8,3/8,Q1520713,Linearization,formalized,High,FALSE,"ApproximatesLinearOn, HasFDerivAtFilter, fderiv, taylorWithinEval",https://en.wikipedia.org/wiki/Linearization,https://www.wikidata.org/wiki/Q1520713,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=HasFDerivAt,,
HasFDerivAt,8,4/8,Q2035437,Multivariable calculus,formalized,High,FALSE,"ContDiff, Differentiable, fderiv",https://en.wikipedia.org/wiki/Multivariable_calculus,https://www.wikidata.org/wiki/Q2035437,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=HasFDerivAt,,
HasFDerivAt,8,5/8,Q2071054,Linear approximation,formalized,High,TRUE,"ApproximatesLinearOn, HasDerivAt, HasFDerivAtFilter",https://en.wikipedia.org/wiki/Linear_approximation,https://www.wikidata.org/wiki/Q2071054,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=HasFDerivAt,,
HasFDerivAt,8,6/8,Q29175,Derivative,formalized,Top,FALSE,"DifferentiableAt, HasDerivAt, deriv, fderiv",https://en.wikipedia.org/wiki/Derivative,https://www.wikidata.org/wiki/Q29175,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=HasFDerivAt,,
HasFDerivAt,8,7/8,Q636889,Derivative (multivariable calculus),formalized,Mid,FALSE,"Differentiable, DifferentiableAt, HasFDerivAtFilter, fderiv",https://en.wikipedia.org/wiki/Derivative_multivariable_calculus,https://www.wikidata.org/wiki/Q636889,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=HasFDerivAt,,
HasFDerivAt,8,8/8,Q750432,Differential of a function,formalized,Mid,FALSE,"HasDerivAt, HasFDerivAtFilter, deriv, fderiv",https://en.wikipedia.org/wiki/Differential_of_a_function,https://www.wikidata.org/wiki/Q750432,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=HasFDerivAt,,
LinearMap,8,1/8,Q131030,Operator (mathematics),formalized,High,TRUE,"ContinuousLinearMap, LinearEquiv, Module.End",https://en.wikipedia.org/wiki/Operator_mathematics,https://www.wikidata.org/wiki/Q131030,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=LinearMap,,
LinearMap,8,2/8,Q15854269,Linear function,formalized,High,TRUE,"AffineMap, IsLinearMap, LinearMapClass",https://en.wikipedia.org/wiki/Linear_function,https://www.wikidata.org/wiki/Q15854269,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=LinearMap,,
LinearMap,8,3/8,Q1753188,Linearity,formalized,High,TRUE,"IsLinearMap, LinearEquiv, LinearMapClass",https://en.wikipedia.org/wiki/Linearity,https://www.wikidata.org/wiki/Q1753188,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=LinearMap,,
LinearMap,8,4/8,Q18848,Module (mathematics),formalized,Top,FALSE,"Module, Submodule",https://en.wikipedia.org/wiki/Module_mathematics,https://www.wikidata.org/wiki/Q18848,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=LinearMap,,
LinearMap,8,5/8,Q207643,Linear map,formalized,High,TRUE,"IsLinearMap, LinearEquiv, LinearMapClass, SemilinearMapClass",https://en.wikipedia.org/wiki/Linear_map,https://www.wikidata.org/wiki/Q207643,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=LinearMap,,
LinearMap,8,6/8,Q484637,Linear equation,formalized,Top,TRUE,"AffineMap, AffineSubspace, IsLinearMap",https://en.wikipedia.org/wiki/Linear_equation,https://www.wikidata.org/wiki/Q484637,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=LinearMap,,
LinearMap,8,7/8,Q579600,Functional (mathematics),formalized,High,FALSE,"Module.Dual, StrongDual",https://en.wikipedia.org/wiki/Functional_mathematics,https://www.wikidata.org/wiki/Q579600,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=LinearMap,,
LinearMap,8,8/8,Q82571,Linear algebra,formalized,Top,FALSE,"Basis, Module, Module.rank, Submodule",https://en.wikipedia.org/wiki/Linear_algebra,https://www.wikidata.org/wiki/Q82571,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=LinearMap,,
Algebra,6,1/6,Q1000660,Algebra over a field,formalized,High,TRUE,"AlgHom, NonUnitalAlgHom, Subalgebra",https://en.wikipedia.org/wiki/Algebra_over_a_field,https://www.wikidata.org/wiki/Q1000660,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Algebra,,
Algebra,6,2/6,Q159943,Abstract algebra,not_formalized,Top,FALSE,"Field, Group, Module, Ring",https://en.wikipedia.org/wiki/Abstract_algebra,https://www.wikidata.org/wiki/Q159943,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Algebra,,
Algebra,6,3/6,Q3968,Algebra,not_formalized,Top,FALSE,"Field, Group, Ring",https://en.wikipedia.org/wiki/Algebra,https://www.wikidata.org/wiki/Q3968,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Algebra,,
Algebra,6,4/6,Q577835,Field extension,formalized,High,TRUE,"IntermediateField, IsScalarTower",https://en.wikipedia.org/wiki/Field_extension,https://www.wikidata.org/wiki/Q577835,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Algebra,,
Algebra,6,5/6,Q727659,Commutative algebra,formalized,Top,FALSE,"CommRing, CommSemiring, Ideal, Module",https://en.wikipedia.org/wiki/Commutative_algebra,https://www.wikidata.org/wiki/Q727659,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Algebra,,
Algebra,6,6/6,Q837414,Hypercomplex number,formalized,Mid,TRUE,"DualNumber, Quaternion, QuaternionAlgebra",https://en.wikipedia.org/wiki/Hypercomplex_number,https://www.wikidata.org/wiki/Q837414,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Algebra,,
ChartedSpace,6,1/6,Q11210,Coordinate system,formalized,Top,FALSE,"Basis, Basis.coord",https://en.wikipedia.org/wiki/Coordinate_system,https://www.wikidata.org/wiki/Q11210,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=ChartedSpace,,
